,club_name,season,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_contract_valid_until,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
256,HSC Montpellier,2017-2018,73.19,77.56,4975000.0,19625.0,25.25,181.81,76.31,2019.62,1.31,74.87,58.8,64.53,70.47,54.73,71.4,65.4,54.93,62.73,67.07,53.53,70.67,60.53,53.8,64.13,70.13,73.47,75.87,71.73,68.0,66.93,67.6,70.93,72.8,71.67,60.6,68.93,54.47,58.67,62.73,54.47,67.87,51.8,55.6,53.07,78,74,79,76,80,42.0
257,HSC Montpellier,2018-2019,74.25,77.75,6418750.0,20562.5,26.06,181.38,75.62,2020.88,1.25,72.6,59.6,64.2,70.13,56.6,69.4,61.93,56.6,62.13,69.73,53.4,69.8,59.87,53.4,63.67,71.2,72.07,73.13,69.27,67.8,68.53,68.4,70.27,73.47,68.47,58.8,67.0,53.87,62.2,60.93,56.47,67.47,60.67,54.53,51.67,81,76,79,81,82,42.0
258,HSC Montpellier,2019-2020,74.81,77.94,7387500.0,26375.0,26.62,180.25,75.56,2021.81,1.38,71.53,59.53,66.2,69.6,59.33,71.2,63.67,55.8,60.53,71.53,50.27,69.0,60.2,55.07,66.2,70.6,72.0,71.4,69.0,69.2,71.53,69.4,70.33,74.8,69.4,59.73,71.73,57.6,62.6,63.27,57.2,69.27,61.73,58.87,55.2,83,77,77,75,86,51.0
259,HSC Montpellier,2020-2021,73.81,77.38,7293750.0,24187.5,25.94,179.44,73.81,2022.75,1.19,73.07,62.47,68.33,71.73,57.27,69.67,66.67,59.27,58.4,72.33,54.47,72.13,63.87,56.53,68.6,71.8,72.93,73.07,71.33,69.33,71.8,71.47,69.53,74.73,66.8,63.33,70.67,56.4,63.73,66.8,58.0,68.73,58.87,57.0,53.93,77,75,73,75,79,50.0
260,HSC Montpellier,2021-2022,74.31,77.62,6906250.0,19625.0,26.12,180.44,74.62,2023.31,1.44,71.33,58.0,66.47,70.2,61.07,70.53,63.13,54.2,61.0,72.0,49.6,69.6,62.73,53.73,66.07,71.4,71.27,71.4,71.13,70.27,69.27,68.8,71.27,72.67,69.67,57.93,70.2,62.6,61.4,64.0,55.2,69.53,61.2,60.73,57.6,77,75,73,75,79,50.0
261,Hamburger SV,2017-2018,75.56,78.5,7887500.0,31250.0,26.19,183.0,77.56,2019.38,1.75,69.8,60.07,67.13,69.47,59.6,72.0,66.93,54.6,62.93,71.2,59.33,67.87,64.0,62.13,65.13,72.07,69.33,70.4,68.53,73.53,66.0,69.6,70.93,72.33,71.8,61.8,72.67,61.33,61.73,62.93,61.33,70.33,57.0,59.33,60.0,74,69,66,76,79,45.0
262,Hannover 96,2017-2018,74.44,76.5,5950000.0,35000.0,25.94,183.5,78.25,2019.5,1.5,69.6,60.4,65.0,70.93,57.53,72.6,63.6,55.53,64.27,70.8,54.0,70.4,54.93,51.0,62.0,71.73,70.87,68.87,71.27,72.73,68.53,71.67,72.87,76.87,70.87,61.2,71.27,57.4,65.13,64.6,57.53,68.27,54.2,58.53,56.6,75,73,69,71,78,41.0
263,Hannover 96,2018-2019,74.62,76.94,6243750.0,25625.0,26.0,182.88,77.56,2020.19,1.44,69.53,59.4,65.27,71.6,61.93,69.87,60.07,54.8,62.53,72.6,55.47,71.07,57.47,54.13,64.4,72.93,70.33,68.87,70.47,72.4,68.87,68.47,70.0,73.67,69.07,61.33,67.47,61.4,61.73,62.4,58.27,69.13,63.13,62.0,58.8,75,74,68,74,78,42.0
264,Hellas Verona,2017-2018,72.31,75.56,3815625.0,21250.0,26.0,179.88,73.25,2019.31,1.31,70.33,54.67,62.0,68.47,55.47,64.33,59.13,48.53,61.33,68.47,52.73,66.2,55.2,44.87,63.33,70.33,70.07,70.33,72.27,67.73,72.13,66.53,70.4,64.2,63.13,56.4,65.47,55.93,56.53,58.27,56.33,68.47,51.33,57.47,54.93,78,59,54,66,76,60.0
265,Hellas Verona,2019-2020,73.19,75.5,4675000.0,16562.5,27.06,181.38,74.94,2021.06,1.25,69.8,62.33,66.4,71.27,56.33,65.8,63.0,58.27,61.6,71.13,59.0,70.27,61.2,54.33,67.27,72.93,70.13,69.33,73.0,68.67,71.07,70.0,66.4,70.0,64.27,65.4,64.47,53.47,63.33,64.8,57.67,69.33,57.07,56.2,54.07,78,68,68,74,79,60.0
